date,fighter,kd,sig_strike_landed,sig_strike_attempts,sig_strike_percent,strike_landed,strike_attempts,td_landed,td_attempts,td_percent,sub_attempts,pass,rev,kds_received,sig_strikes_received,strikes_received,tds_received,method,round_finished,time,rounds,res,weight_class,fight_pk,sig_strikes_avoided,tds_defended,strikes_avoided,strike_percent,sig_reg_mixture,sig_reg_percent
2022-03-26,Marc Diakiese,0,17,20,0.85,40,50,11,18,0.6111111111111112,0,0,NA,0,12,32,0,Decision,3,05:00:00,3,W,Men_Lightweight,6522,9,0,12,0.8,0.4,0.8142857142857143
2022-03-26,Viacheslav Borshchev,0,12,21,0.5714285714285714,32,44,0,0,0,0,0,NA,0,17,40,11,Decision,3,05:00:00,3,L,Men_Lightweight,6522,3,7,10,0.7272727272727273,0.4772727272727273,0.676923076923077
2022-03-26,Sara McMann,0,24,41,0.5853658536585366,73,100,4,6,0.6666666666666666,0,0,NA,0,26,92,1,Decision,3,05:00:00,3,W,Women_Bantamweight,6521,17,1,28,0.73,0.41,0.6879432624113475
2022-03-26,Karol Rosa,0,26,43,0.6046511627906976,92,120,1,2,0.5,0,1,NA,0,24,73,4,Decision,3,05:00:00,3,L,Women_Bantamweight,6521,17,2,27,0.7666666666666667,0.35833333333333334,0.7239263803680982
2022-03-26,Chris Gutierrez,1,41,79,0.5189873417721519,42,81,0,0,0,0,0,NA,0,30,43,1,KO/TKO,2,02:34:00,3,W,Men_Bantamweight,6520,74,0,76,0.5185185185185185,0.9753086419753086,0.51875
2022-03-26,Batgerel Danaa,0,30,104,0.28846153846153844,43,119,1,1,1,0,0,NA,1,41,42,0,KO/TKO,2,02:34:00,3,L,Men_Bantamweight,6520,38,0,39,0.36134453781512604,0.8739495798319328,0.3273542600896861
2022-03-26,Aliaskhab Khizriev,0,42,67,0.6268656716417911,54,79,2,3,0.6666666666666666,1,0,NA,0,31,43,0,Submission,2,01:58:00,3,W,Men_Middleweight,6519,51,1,51,0.6835443037974683,0.8481012658227848,0.6575342465753424
2022-03-26,Denis Tiuliulin,0,31,82,0.3780487804878049,43,94,0,1,0,0,0,NA,0,42,54,2,Submission,2,01:58:00,3,L,Men_Middleweight,6519,25,1,25,0.4574468085106383,0.8723404255319149,0.42045454545454547
2022-03-26,Jennifer Maia,0,37,121,0.30578512396694213,56,141,1,4,0.25,0,0,NA,0,83,101,2,Decision,3,05:00:00,3,L,Women_Flyweight,6518,55,2,56,0.3971631205673759,0.8581560283687943,0.3549618320610687
2022-03-26,Manon Fiorot,0,83,138,0.6014492753623188,101,157,2,4,0.5,0,0,NA,0,37,56,1,Decision,3,05:00:00,3,W,Women_Flyweight,6518,84,3,85,0.643312101910828,0.8789808917197452,0.6237288135593221
