Card,fighter_a,fighter_a_odds,fighter_b,fighter_b_odds
Fury FC 55 Dec 19th 2021,Aalon Cruz,-425,Matt Mooney,+275
UFC 259: Blachowicz vs. Adesanya Mar 6th 2021,Aalon Cruz,+140,Uros Medic,-205
Dana White's Contender Series 22 Jul 30th 2019,Aalon Cruz,+140,Steven Nguyen,-189
UFC on ESPN+ 27: Benavidez vs. Figueiredo Feb 29th 2020,Aalon Cruz,-207,Spike Carlyle,+170
Combate 43: Mexicali Sep 20th 2019,Aaron Brink,+550,Oscar Ivan Cota,-1000
UFC Fight Night: Costa vs. Vettori Oct 23rd 2021,Aaron Phillips,+240,Jonathan Martinez,-350
UFC on ESPN 13: Kattar vs. Ige Jul 15th 2020,Aaron Phillips,+600,Jack Shore,-1000
UFC Fight Night 49: Henderson vs. Dos Anjos Aug 23rd 2014,Aaron Phillips,+145,Matt Hobar,-170
UFC 173: Barao vs. Dillashaw May 24th 2014,Aaron Phillips,+130,Sam Sicilia,-150
CFFC 90: Huckbody vs. Phillips Dec 17th 2020,Aaron Phillips,n/a,Collin Huckbody,n/a
UFC on FOX 8: Johnson vs. Moraga Jul 27th 2013,Aaron Riley,+195,Justin Salas,-245
UFC 135: Jones vs. Rampage Sep 24th 2011,Aaron Riley,+310,Tony Ferguson,-340
UFC 114: Jackson vs. Evans May 29th 2010,Aaron Riley,-200,Joe Brammer,+170
UFC 105: Couture vs Vera Nov 14th 2009,Aaron Riley,-172,Ross Pearson,+162
UFC 101: Declaration Aug 8th 2009,Aaron Riley,-155,Shane Nelson,+135
UFC 96: Jackson vs Jardine Mar 7th 2009,Aaron Riley,-265,Shane Nelson,+225
UFC 91: Couture vs Lesnar Nov 15th 2008,Aaron Riley,-105,Jorge Gurgel,-115
Fury FC 56 Feb 6th 2022,Aaron Rosa,+400,Juan Adams,-750
Bellator Fighting Championship 103: Rickels vs. Ambrose Oct 11th 2013,Aaron Rosa,+290,Mikhail Zayats,-365
UFC on FX 2: Alves vs. Kampmann Mar 2nd 2012,Aaron Rosa,+315,James Te Huna,-345
UFC On FOX 1: Velasquez vs. Dos Santos Nov 12th 2011,Aaron Rosa,-120,Matt Lucas,+110
UFC 131: Carwin vs. Dos Santos Jun 11th 2011,Aaron Rosa,-135,Joey Beltran,+115
Titan Fighting Championship 17 Mar 25th 2011,Aaron Rosa,-135,Abe Wagner,+115
Shark Fights 13: Jardine vs. Prangley Sep 11th 2010,Aaron Rosa,-155,Devin Cole,+135
Bellator Fighting Championships 20 May 27th 2010,Aaron Rosa,-275,Robert Villegas,+235
Sho MMA: Aina vs Evangelista May 15th 2009,Aaron Rosa,+125,Anthony Ruiz,-145
Strikeforce Challengers V: Woodley vs Bears Nov 20th 2009,Aaron Rosa,n/a,Rafael Cavalcante,n/a
Adrenaline MMA 1 Jun 14th 2008,Aaron Rosa,n/a,Ron Fields,n/a
World Series of Fighting 2: Arlovski vs. Johnson Mar 23rd 2013,Aaron Simpson,-275,Josh Burkman,+230
UFC on FX 5: Browne vs. Bigfoot Oct 5th 2012,Aaron Simpson,+135,Mike Pierce,-175
UFC on FUEL TV 4: Munoz vs. Weidman Jul 11th 2012,Aaron Simpson,-350,Kenny Robertson,+290
UFC on FUEL TV 1: Ellenberger vs. Sanchez Feb 15th 2012,Aaron Simpson,+130,Ronny Markes,-140
UFC 136: Edgar vs. Maynard 3 Oct 8th 2011,Aaron Simpson,-400,Eric Schafer,+355
UFC 132: Cruz vs. Faber Jul 2nd 2011,Aaron Simpson,-245,Brad Tavares,+205
UFC Fight Night 24: Nogueira vs. Davis Mar 26th 2011,Aaron Simpson,-210,Mario Miranda,+175
UFC 123: Rampage vs. Machida Nov 20th 2010,Aaron Simpson,+115,Mark Munoz,-125
UFC: The Ultimate Fighter 11 Finale Jun 19th 2010,Aaron Simpson,-310,Chris Leben,+280
UFC Fight Night 20: Maynard vs Diaz Jan 11th 2010,Aaron Simpson,-380,Tom Lawlor,+315
UFC 102: Couture vs Nogueira Aug 29th 2009,Aaron Simpson,-115,Ed Herman,-105
UFC Fight Night 18: Condit vs Kampmann Apr 1st 2009,Aaron Simpson,-200,Tim McKenzie,+170
WEC 36: Faber vs Brown Nov 5th 2008,Aaron Simpson,-160,David Avellan,+130
Bellator 125: Marshall vs. Manhoef Sep 19th 2014,Aaron Wilkinson,+414,Chris Honeycutt,-630
Cage Warriors 60: Omoyele vs. Wilkinson Oct 5th 2013,Aaron Wilkinson,+418,Bola Omoyele,-530
Cage Warriors 50 Dec 8th 2012,Aaron Wilkinson,-165,Alan Johnston,+135
Cage Warriors 48 Jul 21st 2012,Aaron Wilkinson,-400,Leigh Cohoon,+310
UFC: The Ultimate Fighter 12 Finale Dec 4th 2010,Aaron Wilkinson,-110,Cody McKenzie,-110
Bellator Fighting Championship 114: Shlemenko vs. Ward Mar 28th 2014,Aaron Wilkinson,n/a,Michael Arrant,n/a
BAMMA 6: Kong vs. Ninja May 21st 2011,Aaron Wilkinson,n/a,Lee Wieczorek,n/a
UFC Fight Night 115: Volkov vs. Struve Sep 2nd 2017,Abdul-Kerim Edilov,-670,Bojan Mihajlovic,+360
UFC Feb 19th 2022,Abdul Razak Alhassan,+125,Joaquin Buckley,-178
UFC Fight Night 201 Jan 15th 2022,Abdul Razak Alhassan,+125,Joaquin Buckley,-150
UFC on ESPN: Barboza vs. Chikadze Aug 28th 2021,Abdul Razak Alhassan,+190,Alessio Di Chirico,-265
UFC Fight Night 182: Felder vs. dos Anjos Nov 14th 2020,Abdul Razak Alhassan,-200,Khaos Williams,+142
UFC on ESPN 13: Kattar vs. Ige Jul 15th 2020,Abdul Razak Alhassan,-360,Mounir Lazzez,+275
UFC 228: Woodley vs. Till Sep 8th 2018,Abdul Razak Alhassan,-110,Niko Price,-110
UFC 220: Miocic vs. Ngannou Jan 20th 2018,Abdul Razak Alhassan,-210,Sabah Homasi,+168
UFC Fight Night 109: Gustafsson vs. Teixeira May 28th 2017,Abdul Razak Alhassan,-275,Omari Akhmedov,+210
UFC Fight Night 99: Mousasi vs. Hall 2 Nov 19th 2016,Abdul Razak Alhassan,-335,Charlie Ward,+270
UFC on ESPN 22: Whittaker vs. Gastelum Apr 17th 2021,Abdul Razak Alhassan,-345,Jacob Malkoun,+245
Legacy FC 61: Peterson vs. De La Rosa Oct 14th 2016,Abdul Razak Alhassan,n/a,Jos Eichelberger,n/a
Bellator 143: Davis vs. Warren Sep 25th 2015,Abdul Razak Alhassan,n/a,Bryce Meija,n/a
Bellator Fighting Championship 111: Dantas vs. Leone Mar 7th 2014,Abdul Razak Alhassan,n/a,Matt Jones,n/a
UFC on FOX 26: Lawler vs. Dos Anjos Dec 16th 2017,Abel Trujillo,-145,John Makdessi,+125
UFC Fight Night 104: Bermudez vs. Korean Zombie Feb 4th 2017,Abel Trujillo,-101,James Vick,-135
UFC Fight Night 88: Almeida vs. Garbrandt May 29th 2016,Abel Trujillo,-320,Jordan Rinaldi,+260
UFC 195: Lawler vs. Condit Jan 2nd 2016,Abel Trujillo,+132,Tony Sims,-155
UFC Fight Night 77: Belfort vs. Henderson 3 Nov 7th 2015,Abel Trujillo,+110,Gleison Tibau,-132
UFC 181: Hendricks vs. Lawler 2 Dec 6th 2014,Abel Trujillo,+250,Tony Ferguson,-325
UFC 169: Barao vs. Faber Feb 1st 2014,Abel Trujillo,-105,Jamie Varner,-125
UFC on FOX 9: Johnson vs. Benavidez Dec 14th 2013,Abel Trujillo,+125,Roger Bowling,-155
UFC Fight Night 27: Condit vs. Kampmann II Aug 28th 2013,Abel Trujillo,-130,Roger Bowling,+100
UFC 160: Velasquez vs. Silva II May 25th 2013,Abel Trujillo,+240,Khabib Nurmagomedov,-305
UFC on FOX 5: Henderson vs. Diaz Dec 8th 2012,Abel Trujillo,+120,Marcus Levesseur,-145
UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes Dec 11th 2015,Abner Lloveras,+125,Chris Gruetzemacher,-145
Bellator Europe 1: Pitbull vs. Scope Feb 9th 2019,Abner Lloveras,n/a,Jim Wallhead,n/a
UFC 260: Miocic vs. Ngannou 2 Mar 27th 2021,Abu Azaitar,-125,Marc-Andre Barriault,-127
UFC Fight Night 134: Shogun vs. Smith Jul 22nd 2018,Abu Azaitar,-230,Vitor Miranda,+150
WSOF 33 Oct 7th 2016,Abu Azaitar,n/a,Michael Arrant,n/a
WSOF 30: Branch vs. Starks Apr 2nd 2016,Abu Azaitar,-340,Danny Davis Jr.,+185
KSW 27: Cage Time May 17th 2014,Abu Azaitar,-300,Piotr Strus,+220
Cage Warriors Fight Night 10: Azaitar vs. Marshman Mar 28th 2014,Abu Azaitar,-270,Jack Marshman,+190
KSW 25: Khalidov vs. Sakurai Dec 7th 2013,Abu Azaitar,-315,Krzysztof Kulak,+235
KSW 22: Pride Time Mar 16th 2013,Abu Azaitar,+150,Piotr Strus,-190
UFC on ESPN+ 21: Zabit vs. Kattar Nov 9th 2019,Abubakar Nurmagomedov,-333,David Zawada,+220
PFL 10: Playoffs Oct 20th 2018,Abubakar Nurmagomedov,-265,Bojan Velickovic,+200
PFL 6: Cooper vs. Kusch Aug 16th 2018,Abubakar Nurmagomedov,-615,Jonatan Westin,+400
PFL 3: Shields vs. Cooper Jul 5th 2018,Abubakar Nurmagomedov,-1600,Pavel Kusch,+885
WSOF 35: Ivanov vs. Jordan Mar 18th 2017,Abubakar Nurmagomedov,-700,Matt Secor,+460
WSOF 33 Oct 7th 2016,Abubakar Nurmagomedov,-420,John Howard,+330
WSOF 30: Branch vs. Starks Apr 2nd 2016,Abubakar Nurmagomedov,-1350,Matthew Frincu,+650
WSOF 22: Palhares vs. Shields Aug 1st 2015,Abubakar Nurmagomedov,-1100,Jorge Moreno,+675
UFC 260: Miocic vs. Ngannou 2 Mar 27th 2021,Abubakar Nurmagomedov,-250,Jared Gooden,+175
WSOF 26: Palmer vs. Almeida Dec 18th 2015,Abubakar Nurmagomedov,n/a,Danny Davis Jr.,n/a
WSOF 17: Shields vs. Foster Jan 17th 2015,Adam Cella,+140,Danny Davis Jr.,-170
UFC on Fuel TV 9: Mousasi vs. Latifi Apr 6th 2013,Adam Cella,+220,Tor Troeng,-260
Bellator 197: Chandler vs. Girtz Apr 13th 2018,Adam Cella,n/a,Dewayne Diggs,n/a
Bellator 145: Vengeance Nov 6th 2015,Adam Cella,n/a,Cheljean Erwin-Davis,n/a
Bellator 138: Unfinished Business Jun 19th 2015,Adam Cella,n/a,Kyle Kurtz,n/a
UFC on FOX 31: Lee vs. Iaquinta 2 Dec 15th 2018,Adam Milstead,-143,Mike Rodriguez,-120
UFC 222: Cyborg vs. Kunitskaya Mar 3rd 2018,Adam Milstead,+175,Jordan Johnson,-285
UFC Fight Night 104: Bermudez vs. Korean Zombie Feb 4th 2017,Adam Milstead,+240,Curtis Blaydes,-425
UFC Fight Night 88: Almeida vs. Garbrandt May 29th 2016,Adam Milstead,-305,Chris Delarocha,+190
UFC 230: Cormier vs. Lewis Nov 3rd 2018,Adam Wieczorek,-213,Marcos Rogerio,+145
UFC on FOX 29: Poirier vs. Gaethje Apr 14th 2018,Adam Wieczorek,+265,Arjan Bhullar,-335
UFC Fight Night 121: Werdum vs. Tybura Nov 18th 2017,Adam Wieczorek,-175,Anthony Hamilton,+146
UFC Fight Night 136: Hunt vs. Oleinik Sep 15th 2018,Adam Yandiev,+222,Jordan Johnson,-280
UFC 166: Velasquez vs. Dos Santos III Oct 19th 2013,Adlan Amagov,-210,T.J. Waldburger,+170
UFC on Fuel TV 9: Mousasi vs. Latifi Apr 6th 2013,Adlan Amagov,-195,Chris Spang,+170
Strikeforce: Rousey vs. Kaufman Aug 18th 2012,Adlan Amagov,-450,Keith Berry,+375
Strikeforce: Rockhold vs. Jardine Jan 7th 2012,Adlan Amagov,+110,Robbie Lawler,-120
Strikeforce Challengers 20: Britt vs. Sayers Nov 18th 2011,Adlan Amagov,-280,Anthony Smith,+255
Strikeforce Challengers 17: Voelker vs. Bowling II Jul 22nd 2011,Adlan Amagov,-300,Ron Stallings,+250
UFC Fight Night: Vieira vs. Tate Nov 20th 2021,Adrian Yanez,-333,Davey Grant,+225
UFC on ESPN: Sandhagen vs. Dillashaw Jul 24th 2021,Adrian Yanez,-255,Randy Costa,+175
UFC on ESPN+ 39: Hall vs. Silva Oct 31st 2020,Adrian Yanez,-550,Victor Rodriguez,+380
Dana White's Contender Series 28 Aug 11th 2020,Adrian Yanez,-400,Brady Huang,+295
LFA 78: Yanez vs. Estrada Nov 15th 2019,Adrian Yanez,-350,Kyle Estrada,+250
LFA 55: Johns vs. Yanez Nov 30th 2018,Adrian Yanez,+330,Miles Johns,-490
LFA 35: Newell vs. Luque Mar 9th 2018,Adrian Yanez,-465,Nathan Trepagnier,+250
LFA 7: Mai vs. Sanchez Mar 24th 2017,Adrian Yanez,-150,Domingo Pilarte,+110
UFC on ESPN 21: Brunson vs. Holland Mar 20th 2021,Adrian Yanez,-240,Gustavo Lopez,+178
LFA 73: Mowles vs. Yanez 2 Aug 2nd 2019,Adrian Yanez,n/a,Levi Mowles,n/a
LFA 26: Odoms vs. Hughes Nov 3rd 2017,Adrian Yanez,n/a,David Acosta,n/a
LFA 14: Allen vs. Anders Jun 23rd 2017,Adrian Yanez,n/a,Dulani Perry,n/a
Legacy FC 59: Giles vs. Villanueva Sep 16th 2016,Adrian Yanez,n/a,Colin Wright,n/a
Legacy FC 55: Ledet vs. Ritani-Coe May 13th 2016,Adrian Yanez,n/a,Humberto Deleon,n/a
Bellator 149: Shamrock vs. Gracie 3 Feb 19th 2016,Adrian Yanez,n/a,Ryan Hollis,n/a
Legacy FC 50: Young vs. Cyborg Jan 22nd 2016,Adrian Yanez,n/a,Daniel Santos,n/a
Legacy FC 37: Pineda vs. Garcia Nov 14th 2014,Adrian Yanez,n/a,Levi Mowles,n/a
Legacy FC 31: Bush vs. Gonzales Jun 13th 2014,Adrian Yanez,n/a,Ricky Turcios,n/a
Fight Nights Global 87: Khachatryan vs. Queally May 19th 2018,Adriano Martins,n/a,Alexandr Shabliy,n/a
UFC 215: Nunes vs. Shevchenko 2 Sep 9th 2017,Adriano Martins,-600,Kajan Johnson,+350
UFC 204: Bisping vs. Henderson 2 Oct 8th 2016,Adriano Martins,-230,Leonardo Santos,+165
UFC 192: Cormier vs. Gustafsson Oct 3rd 2015,Adriano Martins,+105,Islam Makhachev,-150
UFC Fight Night 61: Bigfoot vs. Mir Feb 22nd 2015,Adriano Martins,+325,Rustam Khabilov,-556
UFC: The Ultimate Fighter 19 Finale Jul 6th 2014,Adriano Martins,-597,Juan Manuel Puig,+320
UFC on FOX 10: Henderson vs. Thomson Jan 25th 2014,Adriano Martins,+150,Donald Cerrone,-200
UFC Fight Night 32: Belfort vs. Henderson Nov 9th 2013,Adriano Martins,+100,Daron Cruickshank,-165
Strikeforce: Marquardt vs. Saffiedine Jan 12th 2013,Adriano Martins,-355,Jorge Gurgel,+230
DREAM 6 Sep 23rd 2008,Adriano Martins,+300,Keita Nakamura,-500
UFC Fight Night 185: Blaydes vs. Lewis Feb 20th 2021,Aiemann Zahabi,+150,Drako Rodriguez,-225
UFC on ESPN+ 9: Iaquinta vs. Cowboy May 4th 2019,Aiemann Zahabi,-190,Vince Morales,+130
UFC 217: Bisping vs. St-Pierre Nov 4th 2017,Aiemann Zahabi,+140,Ricardo Ramos,-205
UFC Fight Night 105: Lewis vs. Browne Feb 19th 2017,Aiemann Zahabi,-325,Reginaldo Vieira,+175
UFC Fight Night 185: Blaydes vs. Lewis Feb 20th 2021,Aiemann Zahabi,+150,Drako Rodriguez,-225
UFC on ESPN+ 9: Iaquinta vs. Cowboy May 4th 2019,Aiemann Zahabi,-190,Vince Morales,+130
UFC 217: Bisping vs. St-Pierre Nov 4th 2017,Aiemann Zahabi,+140,Ricardo Ramos,-205
UFC Fight Night 105: Lewis vs. Browne Feb 19th 2017,Aiemann Zahabi,-325,Reginaldo Vieira,+175
UFC Fight Night 185: Blaydes vs. Lewis Feb 20th 2021,Aiemann Zahabi,+150,Drako Rodriguez,-225
UFC on ESPN+ 9: Iaquinta vs. Cowboy May 4th 2019,Aiemann Zahabi,-190,Vince Morales,+130
UFC 217: Bisping vs. St-Pierre Nov 4th 2017,Aiemann Zahabi,+140,Ricardo Ramos,-205
UFC Fight Night 105: Lewis vs. Browne Feb 19th 2017,Aiemann Zahabi,-325,Reginaldo Vieira,+175
UFC Fight Night 185: Blaydes vs. Lewis Feb 20th 2021,Aiemann Zahabi,+150,Drako Rodriguez,-225
UFC on ESPN+ 9: Iaquinta vs. Cowboy May 4th 2019,Aiemann Zahabi,-190,Vince Morales,+130
UFC 217: Bisping vs. St-Pierre Nov 4th 2017,Aiemann Zahabi,+140,Ricardo Ramos,-205
UFC Fight Night 105: Lewis vs. Browne Feb 19th 2017,Aiemann Zahabi,-325,Reginaldo Vieira,+175
UFC Fight Night 76: Holohan vs. Smolka Oct 24th 2015,Aisling Daly,-140,Ericka Almeida,-120
UFC 186: Johnson vs. Horiguchi Apr 25th 2015,Aisling Daly,+207,Randa Markos,-300
UFC: The Ultimate Fighter 20 Finale Dec 12th 2014,Aisling Daly,-245,Alex Chambers,+175
Cage Warriors 63: Ray vs. Buchinger Dec 31st 2013,Aisling Daly,n/a,Karla Benitez,n/a
Cage Warriors 51 Dec 31st 2012,Aisling Daly,-125,Katja Kankaanpaa,-120
Invicta FC 3: Penne vs. Sugiyama Oct 6th 2012,Aisling Daly,n/a,Barb Honchak,n/a
Cage Warriors 47 Jun 2nd 2012,Aisling Daly,-105,Rosi Sexton,-135
Cage Warriors 41 Apr 24th 2011,Aisling Daly,-290,Sheila Gaff,+220
Bellator Fighting Championships 26 Aug 26th 2010,Aisling Daly,-125,Lisa Ward,-125
UFC Fight Night 76: Holohan vs. Smolka Oct 24th 2015,Aisling Daly,-140,Ericka Almeida,-120
UFC 186: Johnson vs. Horiguchi Apr 25th 2015,Aisling Daly,+207,Randa Markos,-300
UFC: The Ultimate Fighter 20 Finale Dec 12th 2014,Aisling Daly,-245,Alex Chambers,+175
Cage Warriors 63: Ray vs. Buchinger Dec 31st 2013,Aisling Daly,n/a,Karla Benitez,n/a
Cage Warriors 51 Dec 31st 2012,Aisling Daly,-125,Katja Kankaanpaa,-120
Invicta FC 3: Penne vs. Sugiyama Oct 6th 2012,Aisling Daly,n/a,Barb Honchak,n/a
Cage Warriors 47 Jun 2nd 2012,Aisling Daly,-105,Rosi Sexton,-135
Cage Warriors 41 Apr 24th 2011,Aisling Daly,-290,Sheila Gaff,+220
Bellator Fighting Championships 26 Aug 26th 2010,Aisling Daly,-125,Lisa Ward,-125
UFC Fight Night 76: Holohan vs. Smolka Oct 24th 2015,Aisling Daly,-140,Ericka Almeida,-120
UFC 186: Johnson vs. Horiguchi Apr 25th 2015,Aisling Daly,+207,Randa Markos,-300
UFC: The Ultimate Fighter 20 Finale Dec 12th 2014,Aisling Daly,-245,Alex Chambers,+175
Cage Warriors 63: Ray vs. Buchinger Dec 31st 2013,Aisling Daly,n/a,Karla Benitez,n/a
Cage Warriors 51 Dec 31st 2012,Aisling Daly,-125,Katja Kankaanpaa,-120
Invicta FC 3: Penne vs. Sugiyama Oct 6th 2012,Aisling Daly,n/a,Barb Honchak,n/a
Cage Warriors 47 Jun 2nd 2012,Aisling Daly,-105,Rosi Sexton,-135
Cage Warriors 41 Apr 24th 2011,Aisling Daly,-290,Sheila Gaff,+220
Bellator Fighting Championships 26 Aug 26th 2010,Aisling Daly,-125,Lisa Ward,-125
UFC Fight Night 76: Holohan vs. Smolka Oct 24th 2015,Aisling Daly,-140,Ericka Almeida,-120
UFC 186: Johnson vs. Horiguchi Apr 25th 2015,Aisling Daly,+207,Randa Markos,-300
UFC: The Ultimate Fighter 20 Finale Dec 12th 2014,Aisling Daly,-245,Alex Chambers,+175
Cage Warriors 63: Ray vs. Buchinger Dec 31st 2013,Aisling Daly,n/a,Karla Benitez,n/a
Cage Warriors 51 Dec 31st 2012,Aisling Daly,-125,Katja Kankaanpaa,-120
Invicta FC 3: Penne vs. Sugiyama Oct 6th 2012,Aisling Daly,n/a,Barb Honchak,n/a
Cage Warriors 47 Jun 2nd 2012,Aisling Daly,-105,Rosi Sexton,-135
Cage Warriors 41 Apr 24th 2011,Aisling Daly,-290,Sheila Gaff,+220
Bellator Fighting Championships 26 Aug 26th 2010,Aisling Daly,-125,Lisa Ward,-125
UFC Fight Night 76: Holohan vs. Smolka Oct 24th 2015,Aisling Daly,-140,Ericka Almeida,-120
UFC 186: Johnson vs. Horiguchi Apr 25th 2015,Aisling Daly,+207,Randa Markos,-300
UFC: The Ultimate Fighter 20 Finale Dec 12th 2014,Aisling Daly,-245,Alex Chambers,+175
Cage Warriors 63: Ray vs. Buchinger Dec 31st 2013,Aisling Daly,n/a,Karla Benitez,n/a
Cage Warriors 51 Dec 31st 2012,Aisling Daly,-125,Katja Kankaanpaa,-120
Invicta FC 3: Penne vs. Sugiyama Oct 6th 2012,Aisling Daly,n/a,Barb Honchak,n/a
Cage Warriors 47 Jun 2nd 2012,Aisling Daly,-105,Rosi Sexton,-135
Cage Warriors 41 Apr 24th 2011,Aisling Daly,-290,Sheila Gaff,+220
Bellator Fighting Championships 26 Aug 26th 2010,Aisling Daly,-125,Lisa Ward,-125
UFC Fight Night 76: Holohan vs. Smolka Oct 24th 2015,Aisling Daly,-140,Ericka Almeida,-120
UFC 186: Johnson vs. Horiguchi Apr 25th 2015,Aisling Daly,+207,Randa Markos,-300
UFC: The Ultimate Fighter 20 Finale Dec 12th 2014,Aisling Daly,-245,Alex Chambers,+175
Cage Warriors 63: Ray vs. Buchinger Dec 31st 2013,Aisling Daly,n/a,Karla Benitez,n/a
Cage Warriors 51 Dec 31st 2012,Aisling Daly,-125,Katja Kankaanpaa,-120
Invicta FC 3: Penne vs. Sugiyama Oct 6th 2012,Aisling Daly,n/a,Barb Honchak,n/a
Cage Warriors 47 Jun 2nd 2012,Aisling Daly,-105,Rosi Sexton,-135
Cage Warriors 41 Apr 24th 2011,Aisling Daly,-290,Sheila Gaff,+220
Bellator Fighting Championships 26 Aug 26th 2010,Aisling Daly,-125,Lisa Ward,-125
UFC Fight Night 76: Holohan vs. Smolka Oct 24th 2015,Aisling Daly,-140,Ericka Almeida,-120
UFC 186: Johnson vs. Horiguchi Apr 25th 2015,Aisling Daly,+207,Randa Markos,-300
UFC: The Ultimate Fighter 20 Finale Dec 12th 2014,Aisling Daly,-245,Alex Chambers,+175
Cage Warriors 63: Ray vs. Buchinger Dec 31st 2013,Aisling Daly,n/a,Karla Benitez,n/a
Cage Warriors 51 Dec 31st 2012,Aisling Daly,-125,Katja Kankaanpaa,-120
Invicta FC 3: Penne vs. Sugiyama Oct 6th 2012,Aisling Daly,n/a,Barb Honchak,n/a
Cage Warriors 47 Jun 2nd 2012,Aisling Daly,-105,Rosi Sexton,-135
Cage Warriors 41 Apr 24th 2011,Aisling Daly,-290,Sheila Gaff,+220
Bellator Fighting Championships 26 Aug 26th 2010,Aisling Daly,-125,Lisa Ward,-125
UFC Fight Night 76: Holohan vs. Smolka Oct 24th 2015,Aisling Daly,-140,Ericka Almeida,-120
UFC 186: Johnson vs. Horiguchi Apr 25th 2015,Aisling Daly,+207,Randa Markos,-300
UFC: The Ultimate Fighter 20 Finale Dec 12th 2014,Aisling Daly,-245,Alex Chambers,+175
Cage Warriors 63: Ray vs. Buchinger Dec 31st 2013,Aisling Daly,n/a,Karla Benitez,n/a
Cage Warriors 51 Dec 31st 2012,Aisling Daly,-125,Katja Kankaanpaa,-120
Invicta FC 3: Penne vs. Sugiyama Oct 6th 2012,Aisling Daly,n/a,Barb Honchak,n/a
Cage Warriors 47 Jun 2nd 2012,Aisling Daly,-105,Rosi Sexton,-135
Cage Warriors 41 Apr 24th 2011,Aisling Daly,-290,Sheila Gaff,+220
Bellator Fighting Championships 26 Aug 26th 2010,Aisling Daly,-125,Lisa Ward,-125
UFC Fight Night 76: Holohan vs. Smolka Oct 24th 2015,Aisling Daly,-140,Ericka Almeida,-120
UFC 186: Johnson vs. Horiguchi Apr 25th 2015,Aisling Daly,+207,Randa Markos,-300
UFC: The Ultimate Fighter 20 Finale Dec 12th 2014,Aisling Daly,-245,Alex Chambers,+175
Cage Warriors 63: Ray vs. Buchinger Dec 31st 2013,Aisling Daly,n/a,Karla Benitez,n/a
Cage Warriors 51 Dec 31st 2012,Aisling Daly,-125,Katja Kankaanpaa,-120
Invicta FC 3: Penne vs. Sugiyama Oct 6th 2012,Aisling Daly,n/a,Barb Honchak,n/a
Cage Warriors 47 Jun 2nd 2012,Aisling Daly,-105,Rosi Sexton,-135
Cage Warriors 41 Apr 24th 2011,Aisling Daly,-290,Sheila Gaff,+220
Bellator Fighting Championships 26 Aug 26th 2010,Aisling Daly,-125,Lisa Ward,-125
UFC 193: Rousey vs. Holm Nov 14th 2015,Akbarh Arreola,+600,Jake Matthews,-1400
UFC Fight Night 62: Maia vs. LaFlare Mar 21st 2015,Akbarh Arreola,+160,Francisco Trinaldo,-210
UFC Fight Night 57: Edgar vs. Swanson Nov 22nd 2014,Akbarh Arreola,+197,Yves Edwards,-340
UFC on FOX 12: Lawler vs. Brown Jul 26th 2014,Akbarh Arreola,+190,Tiago Dos Santos,-320
Bellator Fighting Championship 67 May 4th 2012,Akihiro Gono,+700,Michael Chandler,-1000
WVR Sengoku Raiden Championships 14 Aug 22nd 2010,Akihiro Gono,-800,Jadamba Narantungalag,+550
WVR Sengoku Raiden Championships 12 Mar 7th 2010,Akihiro Gono,-350,Diego Gonzalez,+260
FieLDS: Dynamite!! 2009 Dec 31st 2009,Akihiro Gono,+135,Hayato Sakurai,-165
WVR Sengoku: Eleventh Battle Nov 7th 2009,Akihiro Gono,-450,Yoon Young Kim,+330
WVR Sengoku: Ninth Battle Aug 2nd 2009,Akihiro Gono,-450,Dan Hornbuckle,+330
UFC 94: St-Pierre vs Penn 2 Jan 31st 2009,Akihiro Gono,+515,Jon Fitch,-730
UFC 89: Bisping vs Leben Oct 18th 2008,Akihiro Gono,-280,Dan Hardy,+240
UFC 78: Validation Nov 17th 2007,Akihiro Gono,-210,Tamdan McCrory,+175
UFC on FOX 14: Gustafsson vs. Johnson Jan 24th 2015,Akira Corassani,-130,Sam Sicilia,+100
UFC Fight Night 53: Nelson vs. Story Oct 4th 2014,Akira Corassani,+455,Max Holloway,-605
UFC: The Ultimate Fighter Nations Finale Apr 16th 2014,Akira Corassani,+845,Dustin Poirier,-1270
UFC: The Ultimate Fighter 18 Finale Nov 30th 2013,Akira Corassani,+170,Maximo Blanco,-210
UFC on Fuel TV 9: Mousasi vs. Latifi Apr 6th 2013,Akira Corassani,+400,Robert Peralta,-525
UFC on FUEL TV 5: Struve vs. Miocic Sep 29th 2012,Akira Corassani,+125,Andy Ogle,-155
UFC 268: Usman vs. Covington 2 Nov 6th 2021,Al Iaquinta,+150,Bobby Green,-222
UFC 243: Whittaker vs. Adesanya Oct 5th 2019,Al Iaquinta,+110,Dan Hooker,-135
UFC on ESPN+ 9: Iaquinta vs. Cowboy May 4th 2019,Al Iaquinta,-139,Donald Cerrone,+110
UFC on FOX 31: Lee vs. Iaquinta 2 Dec 15th 2018,Al Iaquinta,+275,Kevin Lee,-400
UFC 223: Nurmagomedov vs. Iaquinta Apr 7th 2018,Al Iaquinta,+470,Khabib Nurmagomedov,-640
UFC Fight Night 108: Swanson vs. Lobov Apr 22nd 2017,Al Iaquinta,-450,Diego Sanchez,+335
UFC Fight Night 63: Mendes vs. Lamas Apr 4th 2015,Al Iaquinta,-110,Jorge Masvidal,-110
UFC 183: Silva vs. Diaz Jan 31st 2015,Al Iaquinta,-192,Joe Lauzon,+167
